Year,Name,Sex,Rank,Freq
2014,Noah,Male,1,837
2014,Alexander,Male,2,747
2014,William,Male,3,687
2014,Michael,Male,4,680
2014,Liam,Male,5,670
2014,Jacob,Male,6,654
2014,Benjamin,Male,7,649
2014,Mason,Male,8,604
2014,Daniel,Male,9,593
2014,Logan,Male,10,593
2014,Ethan,Male,11,579
2014,Anthony,Male,12,564
2014,Aiden,Male,13,535
2014,Jayden,Male,14,530
2014,Joseph,Male,15,498
2014,James,Male,16,486
2014,Lucas,Male,17,481
2014,Henry,Male,18,477
2014,Jackson,Male,19,469
2014,David,Male,20,467
2014,Nathan,Male,21,446
2014,Elijah,Male,22,445
2014,Matthew,Male,23,436
2014,Andrew,Male,24,433
2014,John,Male,25,432
2014,Isaac,Male,26,419
2014,Dylan,Male,27,417
2014,Jack,Male,28,411
2014,Joshua,Male,29,411
2014,Owen,Male,30,411
2014,Julian,Male,31,407
2014,Gabriel,Male,32,399
2014,Ryan,Male,33,399
2014,Oliver,Male,34,396
2014,Carter,Male,35,393
2014,Sebastian,Male,36,380
2014,Charles,Male,37,377
2014,Luke,Male,38,371
2014,Jonathan,Male,39,364
2014,Samuel,Male,40,353
2014,Christopher,Male,41,340
2014,Evan,Male,42,326
2014,Connor,Male,43,314
2014,Caleb,Male,44,313
2014,Christian,Male,45,308
2014,Thomas,Male,46,306
2014,Nicholas,Male,47,300
2014,Wyatt,Male,48,300
2014,Hunter,Male,49,298
2014,Adrian,Male,50,288
2014,Angel,Male,51,285
2014,Cameron,Male,52,278
2014,Aaron,Male,53,274
2014,Landon,Male,54,266
2014,Nolan,Male,55,266
2014,Jordan,Male,56,263
2014,Kevin,Male,57,261
2014,Gavin,Male,58,258
2014,Adam,Male,59,249
2014,Brandon,Male,60,247
2014,Eli,Male,61,237
2014,Parker,Male,62,235
2014,Isaiah,Male,63,234
2014,Jaxon,Male,64,232
2014,Levi,Male,65,232
2014,Tyler,Male,66,227
2014,Dominic,Male,67,224
2014,Josiah,Male,68,224
2014,Jeremiah,Male,69,222
2014,Austin,Male,70,220
2014,Robert,Male,71,210
2014,Cooper,Male,72,204
2014,Leonardo,Male,73,203
2014,Ian,Male,74,202
2014,Blake,Male,75,200
2014,Brayden,Male,76,200
2014,Camden,Male,77,200
2014,Zachary,Male,78,198
2014,Damian,Male,79,197
2014,Jace,Male,80,196
2014,Vincent,Male,81,196
2014,Ayden,Male,82,192
2014,Leo,Male,83,191
2014,Chase,Male,84,189
2014,Colton,Male,85,188
2014,Grayson,Male,86,186
2014,Lincoln,Male,87,186
2014,Mateo,Male,88,185
2014,Jose,Male,89,182
2014,Maxwell,Male,90,181
2014,Giovanni,Male,91,178
2014,Jason,Male,92,177
2014,Kayden,Male,93,175
2014,Nathaniel,Male,94,175
2014,Miles,Male,95,174
2014,Patrick,Male,96,173
2014,Max,Male,97,170
2014,Brody,Male,98,168
2014,Jaxson,Male,99,168
2014,George,Male,100,166
2014,Theodore,Male,101,166
2015,Noah,Male,1,863
2015,Liam,Male,2,709
2015,Alexander,Male,3,703
2015,Jacob,Male,4,650
2015,William,Male,5,618
2015,Michael,Male,6,617
2015,Benjamin,Male,7,616
2015,Daniel,Male,8,601
2015,Mason,Male,9,594
2015,James,Male,10,576
2015,Logan,Male,11,568
2015,Ethan,Male,12,560
2015,Aiden,Male,13,547
2015,Anthony,Male,14,524
2015,Henry,Male,15,514
2015,Oliver,Male,16,502
2015,Jayden,Male,17,480
2015,Lucas,Male,18,471
2015,Matthew,Male,19,449
2015,Jackson,Male,20,447
2015,Owen,Male,21,446
2015,Sebastian,Male,22,433
2015,Carter,Male,23,429
2015,Joseph,Male,24,427
2015,Isaac,Male,25,421
2015,Elijah,Male,26,413
2015,John,Male,27,412
2015,Dylan,Male,28,403
2015,David,Male,29,402
2015,Julian,Male,30,397
2015,Jack,Male,31,384
2015,Nathan,Male,32,382
2015,Samuel,Male,33,379
2015,Andrew,Male,34,377
2015,Gabriel,Male,35,375
2015,Joshua,Male,36,363
2015,Christopher,Male,37,349
2015,Ryan,Male,38,335
2015,Caleb,Male,39,331
2015,Jonathan,Male,40,328
2015,Charles,Male,41,320
2015,Luke,Male,42,308
2015,Wyatt,Male,43,301
2015,Christian,Male,44,299
2015,Thomas,Male,45,299
2015,Dominic,Male,46,286
2015,Cameron,Male,47,280
2015,Adrian,Male,48,279
2015,Nolan,Male,49,279
2015,Angel,Male,50,278
2015,Nicholas,Male,51,274
2015,Connor,Male,52,269
2015,Levi,Male,53,268
2015,Hunter,Male,54,267
2015,Landon,Male,55,265
2015,Mateo,Male,56,262
2015,Aaron,Male,57,260
2015,Grayson,Male,58,258
2015,Adam,Male,59,256
2015,Isaiah,Male,60,254
2015,Jordan,Male,61,250
2015,Evan,Male,62,249
2015,Leonardo,Male,63,246
2015,Leo,Male,64,244
2015,Jaxon,Male,65,241
2015,Gavin,Male,66,236
2015,Josiah,Male,67,235
2015,Eli,Male,68,223
2015,Theodore,Male,69,220
2015,Lincoln,Male,70,218
2015,Brandon,Male,71,217
2015,Tyler,Male,72,215
2015,Brayden,Male,73,208
2015,Austin,Male,74,205
2015,Robert,Male,75,205
2015,Emmett,Male,76,204
2015,Parker,Male,77,204
2015,Jeremiah,Male,78,200
2015,Kevin,Male,79,200
2015,Colton,Male,80,199
2015,Ian,Male,81,199
2015,Vincent,Male,82,198
2015,Zachary,Male,83,197
2015,Chase,Male,84,193
2015,Ayden,Male,85,187
2015,Cooper,Male,86,186
2015,Easton,Male,87,183
2015,Declan,Male,88,182
2015,Jaxson,Male,89,180
2015,Xavier,Male,90,175
2015,Jace,Male,91,172
2015,Damian,Male,92,171
2015,Jose,Male,93,171
2015,Kayden,Male,94,171
2015,Patrick,Male,95,169
2015,Giovanni,Male,96,168
2015,Hudson,Male,97,167
2015,Camden,Male,98,165
2015,Max,Male,99,164
2015,Maxwell,Male,100,155
