Id,Year,Track,Artist,Time,Genre
0,2000,(Hot S**t) Country Grammar,Nelly,4:17,Rap
1,2000,3 Little Words,Nu Flavor,3:54,R&B
2,2000,911,"Jean, Wyclef",4:00,Rap
3,2000,A Country Boy Can Survive,"Brock, Chad",3:54,Country
4,2000,A Little Gasoline,"Clark, Terri",3:07,Country
5,2000,A Puro Dolor (Purest Of Pain),Son By Four,3:30,Latin
6,2000,Aaron's Party (Come Get It),"Carter, Aaron",3:23,R&B
7,2000,Absolutely (Story Of A Girl),Nine Days,3:09,Rock
8,2000,All Good?,De La Soul,5:02,Rap
9,2000,All The Small Things,Blink-182,2:52,Rock
10,2000,Amazed,Lonestar,4:25,Country
11,2000,American Pie,Madonna,4:30,Rock
12,2000,Angels,"Williams, Robbie",3:56,Rock
13,2000,Another Dumb Blonde,Hoku,3:47,Pop
14,2000,Another Nine Minutes,Yankee Grey,3:10,Country
15,2000,Anything,Jay-Z,3:41,Rap
16,2000,As We Lay,"Price, Kelly",6:20,Rock
17,2000,Auld Lang Syne (The Millenium Mix),Kenny G,7:50,Jazz
18,2000,Baby Don't Cry (Keep Ya Head Up II),2 Pac,4:22,Rap
19,2000,Baby U Are,"Levert, Gerald",4:10,R&B
20,2000,Back At One,"Wills, Mark",4:00,Country
21,2000,Back Here,BBMak,3:35,Rock
22,2000,Bad Boyz,Shyne,4:22,Rap
23,2000,Bag Lady,"Badu, Erkyah",5:03,Rock
24,2000,Be With You,"Iglesias, Enrique",3:36,Latin
25,2000,Because You Love Me,"Messina, Jo Dee",3:50,Country
26,2000,Been There,"Black, Clint",5:28,Country
27,2000,Bent,matchbox twenty,4:12,Rock
28,2000,Best Friend,Puff Daddy,5:33,Rap
29,2000,Best Of Intentions,"Tritt, Travis",4:15,Country
30,2000,Better Off Alone,Alice Deejay,6:50,Electronica
31,2000,Between Me And You,Ja Rule,4:05,Rap
32,2000,Big Deal,"Rimes, LeAnn",3:03,Country
33,2000,Big Pimpin',Jay-Z,3:55,Rap
34,2000,Blue (Da Ba Dee),Eiffel 65,3:29,Electronica
35,2000,Born To Fly,"Evans, Sara",5:36,Country
36,2000,Bounce With Me,Lil Bow Wow,3:22,Rap
37,2000,Breathe,"Hill, Faith",4:04,Rap
38,2000,Breathe And Stop,Q-Tip,4:06,Rock
39,2000,Bring It All To Me,Blaque,3:46,Pop
40,2000,Broadway,Goo Goo Dolls,3:54,Rock
41,2000,Buy Me A Rose,"Rogers, Kenny",3:46,Country
42,2000,Bye Bye Bye,N'Sync,3:15,Rock
43,2000,Californication,Red Hot Chili Peppers,5:21,Rock
44,2000,Callin' Me,Lil' Zane,3:43,Rap
45,2000,Can't Fight The Moonlight,"Rimes, LeAnn",3:33,Country
46,2000,Can't Go For That,Tamia,3:38,Rock
47,2000,Can't Stay,"Hollister, Dave",6:17,Rock
48,2000,Carlene,"Vassar, Phil",4:07,Country
49,2000,Case Of The Ex (Whatcha Gonna Do),Mya,3:50,Rock
50,2000,Caught Out There,Kelis,4:09,R&B
51,2000,Change Your Mind,Sister Hazel,4:02,Rock
52,2000,Cherchez LaGhost,Ghostface Killah,3:04,R&B
53,2000,Cold Day In July,"Dixie Chicks, The",5:12,Country
54,2000,Come On Over Baby (All I Want Is You),"Aguilera, Christina",3:38,Rock
55,2000,Could I Have This Kiss Forever,"Houston, Whitney",3:54,Rock
56,2000,Couldn't Last A Moment,"Raye, Collin",3:40,Country
57,2000,Country Comes To Town,"Keith, Toby",3:39,Country
58,2000,Cowboy Take Me Away,"Dixie Chicks, The",4:51,Country
59,2000,Crash And Burn,Savage Garden,4:41,Rock
60,2000,Crybaby,"Carey, Mariah",5:19,Rock
61,2000,Daddy Won't Sell The Farm,Montgomery Gentry,4:18,Country
62,2000,Dance Tonight,Lucy Pearl,3:45,R&B
63,2000,Dancin',Guy,4:08,R&B
64,2000,Dancing Queen,A*Teens,3:44,Pop
65,2000,Dear Lie,TLC,4:36,Rock
66,2000,Deck The Halls,SheDaisy,3:46,Country
67,2000,Deep Inside,"Blige, Mary J.",5:26,Rock
68,2000,Deep Inside Of You,Third Eye Blind,4:10,Rock
69,2000,Desert Rose,Sting,3:52,Rock
70,2000,Do It Again (Put Ya Hands Up),Jay-Z,3:47,Rap
71,2000,Do What You Gotta Do,"Brooks, Garth",2:56,Country
72,2000,Do You,Funkmaster Flex,4:14,Rap
73,2000,Doesn't Really Matter,Janet,4:17,Rock
74,2000,Don't Call Me Baby,Madison Avenue,3:44,Electronica
75,2000,Don't Say You Love Me,M2M,3:41,Pop
76,2000,Don't Think I'm Not,Kandi,3:50,Rock
77,2000,Emotional,"Thomas, Carl",4:31,Rock
78,2000,Everything You Want,Vertical Horizon,4:01,Rock
79,2000,Faded,SoulDecision,3:25,Rock
80,2000,Falls Apart,Sugar Ray,4:15,Rock
81,2000,Feelin' Good,"Lopez, Jennifer",4:28,Latin
82,2000,Feels Like Love,"Gill, Vince",4:13,Country
83,2000,Flowers On The Wall,"Heatherly, Eric",3:16,Country
84,2000,Forgot About Dre,Dr. Dre,3:42,Rap
85,2000,Freakin' It,"Smith, Will",3:58,Rap
86,2000,From The Bottom Of My Broken Heart,"Spears, Britney",4:30,Rock
87,2000,G'D Up,"Eastsidaz, The",4:27,Rap
88,2000,Get It On.. Tonite,"Jordan, Montell",4:34,Rap
89,2000,Get Up,"Larrieux, Amel",4:02,R&B
