Country,Year,Sex,Age,Cases
AD,2000,m,0-14,0.0
AE,2000,m,0-14,2.0
AF,2000,m,0-14,52.0
AG,2000,m,0-14,0.0
AL,2000,m,0-14,2.0
AM,2000,m,0-14,2.0
AN,2000,m,0-14,0.0
AO,2000,m,0-14,186.0
AR,2000,m,0-14,97.0
AD,2000,m,15-24,0.0
AE,2000,m,15-24,4.0
AF,2000,m,15-24,228.0
AG,2000,m,15-24,0.0
AL,2000,m,15-24,19.0
AM,2000,m,15-24,152.0
AN,2000,m,15-24,0.0
AO,2000,m,15-24,999.0
AR,2000,m,15-24,278.0
AD,2000,m,25-34,1.0
AE,2000,m,25-34,4.0
AF,2000,m,25-34,183.0
AG,2000,m,25-34,0.0
AL,2000,m,25-34,21.0
AM,2000,m,25-34,130.0
AN,2000,m,25-34,1.0
AO,2000,m,25-34,1003.0
AR,2000,m,25-34,594.0
AD,2000,m,35-44,0.0
AE,2000,m,35-44,6.0
AF,2000,m,35-44,149.0
AG,2000,m,35-44,0.0
AL,2000,m,35-44,14.0
AM,2000,m,35-44,131.0
AN,2000,m,35-44,2.0
AO,2000,m,35-44,912.0
AR,2000,m,35-44,402.0
AD,2000,m,45-54,0.0
AE,2000,m,45-54,5.0
AF,2000,m,45-54,129.0
AG,2000,m,45-54,0.0
AL,2000,m,45-54,24.0
AM,2000,m,45-54,63.0
AN,2000,m,45-54,0.0
AO,2000,m,45-54,482.0
AR,2000,m,45-54,419.0
AS,2000,m,45-54,1.0
AD,2000,m,55-64,0.0
AE,2000,m,55-64,12.0
AF,2000,m,55-64,94.0
AG,2000,m,55-64,0.0
AL,2000,m,55-64,19.0
AM,2000,m,55-64,26.0
AN,2000,m,55-64,0.0
AO,2000,m,55-64,312.0
AR,2000,m,55-64,368.0
AS,2000,m,55-64,1.0
AD,2000,,,0.0
AE,2000,,,10.0
AF,2000,,,80.0
AG,2000,,,1.0
AL,2000,,,16.0
AM,2000,,,21.0
AN,2000,,,0.0
AO,2000,,,194.0
AR,2000,,,330.0
AE,2000,f,0-14,3.0
AF,2000,f,0-14,93.0
AG,2000,f,0-14,1.0
AL,2000,f,0-14,3.0
AM,2000,f,0-14,1.0
AN,2000,f,0-14,0.0
AO,2000,f,0-14,247.0
AR,2000,f,0-14,121.0
