id,Date,tmax,tmin
MX17004,2010-01-30,27.8,14.5
MX17004,2010-02-02,27.3,14.4
MX17004,2010-02-03,24.1,14.4
MX17004,2010-02-11,29.7,13.4
MX17004,2010-02-23,29.9,10.7
MX17004,2010-03-05,32.1,14.2
MX17004,2010-03-10,34.5,16.8
MX17004,2010-03-16,31.1,17.6
MX17004,2010-04-27,36.3,16.7
MX17004,2010-05-27,33.2,18.2
MX17004,2010-06-17,28.0,17.5
MX17004,2010-06-29,30.1,18.0
MX17004,2010-07-03,28.6,17.5
MX17004,2010-07-14,29.9,16.5
MX17004,2010-08-05,29.6,15.8
MX17004,2010-08-08,29.0,17.3
MX17004,2010-08-13,29.8,16.5
MX17004,2010-08-23,26.4,15.0
MX17004,2010-08-25,29.7,15.6
MX17004,2010-08-29,28.0,15.3
MX17004,2010-08-31,25.4,15.4
MX17004,2010-10-05,27.0,14.0
MX17004,2010-10-07,28.1,12.9
MX17004,2010-10-14,29.5,13.0
MX17004,2010-10-15,28.7,10.5
MX17004,2010-10-28,31.2,15.0
MX17004,2010-11-02,31.3,16.3
MX17004,2010-11-04,27.2,12.0
MX17004,2010-11-05,26.3,7.9
MX17004,2010-11-26,28.1,12.1
MX17004,2010-11-27,27.7,14.2
MX17004,2010-12-01,29.9,13.8
MX17004,2010-12-06,27.8,10.5
